id	label	parent	source
si22	passive	cs151	subject_index
si23	possessive	cs151	subject_index
si24	pronominal	cs151	subject_index
si25	relative	cs151	subject_index
si26	verbal	cs151	subject_index
si27	(with) active verbs	cs326	subject_index
si28	aspect	cs326	subject_index
si29	(in) conditions	cs326	subject_index
si30	futuristic see aorist tense: proleptic global see aorist tense: constative gnomic	cs326	subject_index
si31	imperative	cs326	subject_index
si32	inceptive see aorist tense: ingressive inchoative see aorist tense: ingressive	cs326	subject_index
si33	infinitive	cs326	subject_index
si34	indicative	cs326	subject_index
si35	middle	cs326	subject_index
si36	once-for-all	cs326	subject_index
si37	participle	cs326	subject_index
si38	passive	cs326	subject_index
si39	(in) prohibitions	cs326	subject_index
si40	punctiliar see aorist tense: constative retained in indirect discourse	cs326	subject_index
si41	(with) stative verbs	cs326	subject_index
si42	subjunctive	cs326	subject_index
si43	time	cs326	subject_index
si44	unaffected	cs326	subject_index
si45	dependent	cs98	subject_index
si46	function marker	cs98	subject_index
si47	independent	cs98	subject_index
si48	modifying	cs98	subject_index
si49	neuter singular	cs98	subject_index
si50	origin	cs98	subject_index
si51	previous reference see article: anaphoric pronominal	cs98	subject_index
si52	(with) quotations	cs98	subject_index
si53	regular uses	cs98	subject_index
si54	simple identification	cs98	subject_index
si55	(with) article	cs395	subject_index
si56	asyndetic	cs395	subject_index
si57	causal	cs395	subject_index
si58	comparative	cs395	subject_index
si59	complementary	cs395	subject_index
si60	conditional	cs395	subject_index
si61	conjunctive	cs395	subject_index
si62	contrastive	cs395	subject_index
si63	correlative	cs395	subject_index
si64	declarative	cs395	subject_index
si65	direct object	cs395	subject_index
si66	disjunctive	cs395	subject_index
si67	embedded	cs395	subject_index
si68	equative	cs395	subject_index
si69	explanatory	cs395	subject_index
si70	indefinite	cs395	subject_index
si71	independent	cs395	subject_index
si72	inferential	cs395	subject_index
si73	infinitival	cs395	subject_index
si74	instrumental (means)	cs395	subject_index
si75	local	cs395	subject_index
si76	manner	cs395	subject_index
si77	nonequative	cs395	subject_index
si78	participial	cs395	subject_index
si79	purpose (telic)	cs395	subject_index
si80	recitative	cs395	subject_index
si81	relative	cs395	subject_index
si82	result (ecbatic)	cs395	subject_index
si83	sub-final	cs395	subject_index
si84	subject	cs395	subject_index
si85	temporal	cs395	subject_index
si86	transitional	cs395	subject_index
si87	transitive	cs395	subject_index
si88	volitional	cs395	subject_index
si89	aspect	cs436	subject_index
si90	hortatory subjunctive	cs436	subject_index
si91	imperatival ἵνα	cs436	subject_index
si92	imperatival infinitive	cs436	subject_index
si93	indirect	cs436	subject_index
si94	perfect	cs436	subject_index
si95	traditional view	cs436	subject_index
si96	apodosis	cs426	subject_index
si97	first class	cs426	subject_index
si98	fifth class	cs426	subject_index
si99	implicit	cs426	subject_index
si100	protasis	cs426	subject_index
si101	questions	cs426	subject_index
si102	simple	cs426	subject_index
si103	structural categories	cs426	subject_index
si104	systems of classification	cs426	subject_index
si105	third class	cs426	subject_index
si106	unreal see conditions: second class	cs426	subject_index
si107	adjunctive	cs404	subject_index
si108	hypotactic	cs404	subject_index
si109	paratactic	cs404	subject_index
si110	abstract	cs53	subject_index
si111	adverbial	cs53	subject_index
si112	comitative	cs53	subject_index
si113	contextualizing	cs53	subject_index
si114	existential	cs53	subject_index
si115	impersonal	cs53	subject_index
si116	indirect object	cs53	subject_index
si117	infinitive (articular)	cs53	subject_index
si118	instrumental	cs53	subject_index
si119	limiting	cs53	subject_index
si120	local	cs53	subject_index
si121	nonassociative	cs53	subject_index
si122	opinion	cs53	subject_index
si123	personal	cs53	subject_index
si124	(with) pronouns	cs53	subject_index
si125	pure	cs53	subject_index
si126	qualifying	cs53	subject_index
si127	aspect	cs334	subject_index
si128	(in) commands	cs334	subject_index
si129	(in) conditions	cs334	subject_index
si130	emphatic negation	cs334	subject_index
si131	(after) ἵνα	cs334	subject_index
